,Twitter Query: lang:es -filter:retweets -filter:replies @GobIzcalli,,,,,,,,,,,,,,,,,,,
09/05/2022 09:17,@pizcalli,Periódico de Izcalli,👩‍🏫✏️ El @GobIzcalli firmó un convenio de colaboración con 19 instituciones académicas.,1523668535066562560,,https://pbs.twimg.com/media/FSUodRCXIAAvJsG.jpg,,0,0,Twitter for Android,12372,297,45,,12/21/2009,Cuautitlán Izcalli,"Nos posicionamos como un periódico confiable y efectivo entre nuestros lectores, manteniéndonos como el medio informativo líder de opinión en #CuautitlánIzcalli",http://www.periodicodeizcalli.com.mx,,View
09/05/2022 09:00,@ObservatorioM19,Observatorio Metropolitano,El @GobIzcalli pedirá préstamo de 178 mdp para comprar #patrullas y ampliar obra pública. El #presupuesto2022 tuvo modificaciones @KarlaFiesco @joannaftorres @JORGEGA90040118 @AnaBalderasMx @soypacosantos @PacoRojasDip,1523664261913858049,https://bit.ly/396RdJG,,,0,0,Twitter for Android,376,937,5,,6/20/2020,"Cuautitlán Izcalli, México",Periodismo crítico en el Valle de México,,,View
09/05/2022 08:06,@EmanuelCorreaMx,Emmanuel Correa,"Solicitamos pronta intervención de nuestra Pdta. @KarlaFiesco @GobIzcalli problemática constante con parqueo de tractocamión de @JdoMonitoreo obstruyendo vialidad frente a zona escolar de 4 Escuelas aledañas en Calle Cuauhtemoc, Col.San Juan Atlamica, Cuautitlán Izcalli.",1523650564520701953,,https://pbs.twimg.com/media/FSUXyhbWYAAmYv1.jpg,,0,0,Twitter for iPhone,444,460,0,,1/29/2014,"Tlalnepantla de Baz, México",La creatividad es la inteligencia divirtiéndose.,,,View
08/05/2022 19:49,@CapitalEdomex,Capital EdoMex,"En los primeros cuatro meses del @GobIzcalli , ya se han reparado cerca de mil 800 fugas de agua",1523465219816628224,https://www.capitaledomex.com.mx/local/repara-de-15-a-25-fugas-de-agua-al-dia-en-izcalli/,,,0,0,TweetDeck,22313,17212,178,,9/24/2010,Estado de México,"Información relevante de lo que sucede en el Estado de México, a nivel nacional y en el mundo.",http://www.capitaledomex.com.mx/,,View
08/05/2022 17:22,@Gob_Tlalne,Gobierno de Tlalnepantla,"Nuestro Pdte. @TonyRodriguezMX tuvo una exitosa reunión con los presidentes municipales de @GobAtizapan, @GobiernoNicolas y @GobIzcalli, afinando detalles para la puesta en marcha de la Policía Intermunicipal, que brindará mayor seguridad a la población. #NuevoGobiernoNuevasIdeas",1523428056983285760,,pic.twitter.com/Z913JY72w3,,4,5,Twitter for Android,19953,99,51,✅,1/1/2019,"Tlalnepantla de Baz, México",Cuenta oficial del Gobierno de Tlalnepantla de Baz 2022 - 2024 Presidente municipal @TonyRodriguezMX Emergencias C4 📞 55 5366 4444,http://tlalnepantla.gob.mx,,View
08/05/2022 16:51,@VisionUrbanaMX,Visión Urbana,Cuautitlán #Izcalli Celebran a las madres izcallenses con espectáculo deportivo  @GobIzcalli @KarlaFiesco,1523420373144207360,https://vision-urbana.com.mx/celebran-a-las-madres-izcallenses-con-espectaculo-deportivo/,,,0,0,TweetDeck,5794,5863,40,,5/28/2010,Valle de México,Información y Noticias del Valle de México. Síguenos en Facebook https://www.facebook.com/VisionUrbanaMX,http://www.vision-urbana.com.mx,,View
08/05/2022 12:04,@NDP_Noticias,NDP Noticias,"El @GobIzcalli que encabeza la presidenta, @KarlaFiesco, a través del Instituto Municipal del Deporte, celebra día de la mamá con baile, rifas y pláticas que se vivieron en la “Master Class Zumba”, que se llevó a cabo en el arcotecho de Cofradía IV.",1523348107743793152,https://www.ndpnoticias.com/?p=2988,,,0,0,Twitter for iPhone,1629,1864,4,,3/28/2017,"Atizapán de Zaragoza, México",,https://ndpnoticias.com,,View
07/05/2022 19:20,@revista_pendulo,péndulo_revista,"Con “Máster Class de Zumba”, Izcalli celebra a las mamás.  @GobIzcalli #DiaDeLaMadre",1523095459908120576,https://www.pendulonline.com/con-master-class-de-zumba-izcalli-celebra-a-las-mamas/,,,0,0,Twitter for Android,1489,741,7,,2/23/2010,México,Cuenta Oficial de la Revista Péndulo.,http://www.pendulonline.com,,View
07/05/2022 16:18,@noticiazonacero,Zona Cero Noticias Edoméx,#ZCN | El @GobIzcalli continúa con su programa de rehabilitación de vialidades con la aplicación de mil 800 toneladas de asfalto.,1523049716266663936,,https://pbs.twimg.com/media/FSL1pVSWUAEV3KE.jpg,,0,0,Twitter for Android,12352,445,63,,1/28/2013,Estado de México,Portal web con las noticias y los hechos más relevantes ocurridos en el norte del Estado de México.,http://www.zonaceronoticias.com.mx,,View
07/05/2022 15:44,@12Parrafo,Párrafo 12/24,"En sesión de cabildo, el cuerpo colegiado de @GobIzcalli, encabezado por la alcaldesa @KarlaFiesco, aprobó una modificación en el presupuesto para la obtención de ingresos por financiamiento que serán destinados a los rubros de obra y Seguridad pública.",1523041020904095744,https://m.facebook.com/story.php?story_fbid=382631420542366&id=100063865320724,https://pbs.twimg.com/media/FSLrTL_XsAIFfaL.jpg,,0,0,Twitter Web App,251,157,3,,10/1/2017,,,,,View
07/05/2022 14:04,@NeptunoReyGala1,NeptunoReyGaláctico,"Éste cráter tiene ya muchos meses, reconozco que está desde el Gobierno anterior, sin embargo, ustedes tienen poco más de 4 meses y pareciera que tampoco les importa, hasta cuándo❓ @GobIzcalli @KarlaFiesco Nota: Aún costado de Tránsito.",1523015866576773122,,https://pbs.twimg.com/media/FSLWw51WYAAZ-Zk.jpg,,0,0,Twitter for Android,224,586,0,,3/18/2022,,He llegado desde algún lugar de la galaxia para apoyar al 100% a ese gran hombre que sabe brillar en cualquier lugar @lopezobrador_ ✨✨ SEGUIMOS TRIUNFANDO 🎉🎉,,,View
07/05/2022 12:45,@luis_journalist,LUIS ROCHA / Política y Estilo,"Karla Fiesco García, refuerza la seguridad en Cuautitlán Izcalli.  / #Edomex #CuautitlanIzcalli @KarlaFiesco @alfredodelmazo @anuarazar @MarkoCortes @EnriqueVargasdV @SS_Edomex @ErnestoNemer @MAGPilloni @GobIzcalli",1522996146511175681,https://www.luisrochanoticias.com/post/karla-fiesco-garc%C3%ADa-anuncia-que-se-destinar%C3%A1n-18-millones-569-mil-pesos-a-seguridad-p%C3%BAblica,,,2,1,Twitter for Android,5551,4707,65,,7/25/2009,Edomex,"#Edomex Mi alma le pertenece al Cruz Azul / Periodista / Crítico / Ácido / Me odian los corruptos / La Luna es mi fuente de poder, inspiración y energía.",https://www.luisrochanoticias.com/,,View
06/05/2022 23:33,@SoyJimmynegro,SoyJimmy Again,Y de nuevo los bares tipo terrazas sigues excediendo el nivel de decibelios permitido en zona habitacional. La plaza San judas es un ejemplo de corrupción. @SPublicaIzcalli @GobIzcalli @KarlaFiesco #izcalli #SomosFuturo,1522796709855834112,,,,1,1,Twitter for Android,9,15,0,,1/12/2022,,"El burro no era arisco, me hicieron.",,,View
06/05/2022 21:15,@JornadaEdomex,La Jornada Estado de México,"Fuerte #granizada se registró en los municipios de @GobNau, @Gob_Tlalne, Cuautitlán @GobIzcalli y @GobAtizapan.",1522762097892814849,,pic.twitter.com/XUQQ7A5y8A,,0,0,Twitter Media Studio,2922,17,48,✅,9/15/2020,Toluca,"La Jornada inicia en el Estado de México una labor informativa, consecuente con los valores fundamentales de nuestro país.",https://lajornadaestadodemexico.com/,,View
06/05/2022 16:33,@NDP_Noticias,NDP Noticias,"El @GobIzcalli, presidido por @KarlaFiesco, en compañía con el @DIFIzcalli2022 y @DIFEM_ hicieron entrega de juguetes a más de cuatro mil niñas y niños.",1522691141480730634,https://www.ndpnoticias.com/?p=2967,,,0,0,Twitter for iPhone,1631,1865,4,,3/28/2017,"Atizapán de Zaragoza, México",,https://ndpnoticias.com,,View
06/05/2022 16:17,@VisionUrbanaMX,Visión Urbana,"#Entrevista con la Presidenra @KarlaFiesco : informa sobre Centro de Rehabilitación Regional que se ubicará frente a la @uci_edu_mx UCI, en Cuautitlán #Izcalli. “Estamos a un 70% de los trabajos”. @GobIzcalli",1522687036741849088,,pic.twitter.com/E94ymUU5Ja,,0,0,Twitter for iPhone,5797,5864,40,,5/28/2010,Valle de México,Información y Noticias del Valle de México. Síguenos en Facebook https://www.facebook.com/VisionUrbanaMX,http://www.vision-urbana.com.mx,,View
05/05/2022 21:45,@tvmextv,TvMex,#TvMexNoticias @KarlaFiesco toma protesta a Copacis y delegados en Cuautitlán Izcalli @GobIzcalli,1522407075095195648,,pic.twitter.com/d4LlPQemvc,,7,7,Twitter for iPhone,1392,1980,10,,11/26/2013,México,"Canal Digital que produce contenido informativo, de orientación y entretenimiento. #LaTvDeHoy",http://www.tvmex.tv,,View
05/05/2022 21:35,@Jedimx76,Jedimx,"Leyendo la nota, uno advierte que rápido aprendió @KarlaFiesco de @GobIzcalli y @pan_edomex a echarle la culpa al pasado como ya saben quién...",1522404642751229957,https://www.jornada.com.mx/notas/2022/05/05/estados/robo-de-vehiculos-va-al-alza-en-cuatitlan-izcalli-reporta-alcaldesa/,,,0,0,Twitter for Android,163,136,7,,5/5/2011,19°25′58″N 99°08′00″W,El décimo hombre. Veritas odium parit,,,View
05/05/2022 19:11,@AntonioCataro59,Antonio Estudillo.,"De tarea @Edomex @EdoMexAzul @Morena_edomex @PRI_EDOMEX @SEMOV_Edomex @GobIzcalli @Gob_Tlalne @GobAtizapan ¿Recuerdan mi pregunta? RT @QuePocaMadre_Mx: MOTOCICISTA ATROPELLADO🚨 Esta mañana un motociclista perdió la vid luego de que fuera atropellado por un tráiler cuando circulaba en la Av. López Portillo, a la altura de la estación Bello Horizonte del #Mexibús, en el municipio de #Tultitlán, #Edomex.",1522368424747446275,https://twitter.com/QuePocaMadre_Mx/status/1522283876671918081,https://pbs.twimg.com/media/FSA7Ro8VgAAwgHr.jpg,,0,0,Twitter for Android,643,592,14,,6/28/2012,www.elpoderdelapalabra.com.mx,"Profesor de economía y practicante de aikido. Gusto por la literatura, jazz, rock progesivo. Y triatleta, ya qué.🏊🚴🏃",http://todo-esta-en-todo.webnode.mx,,View
05/05/2022 14:03,@ArturoOscoy,Arturo Contreras,Tendrá @GobIzcalli giras de trabajo con autoridades auxiliares de las comunidades de #Izcalli,1522290972171845635,https://el-corresponsal.com/tendra-gobierno-de-izcalli-giras-de-trabajo-con-autoridades-auxiliares/,,,0,0,Twitter for Android,196,775,2,,7/30/2012,Edomex,Trabajando en lo que más me gusta.,http://www.el-corresponsal.com,,View
05/05/2022 13:33,@Rivemons,Gustavo H.🇲🇽,"Esto es @GobIzcalli del futuro, del futuro basurero que dejarán cuando se vaya esta administración! Crisis deudas y unos poco ricos más ricos…. RT @irenegzsa: #cuautitlanIzcalli #antesyahora #tucasaentrelosarboles #tucasaentrelabasura #basurero #contaminacion #izcalli #tianguis #suciedad #focodecontaminacion #municipio @pizcalli @izcaheroes @CuautitlanMX @GobIzcalli @Edomex @GobiernoMX es necesaria la reglamentación a tianguis #edomex",1522283469321166852,https://twitter.com/irenegzsa/status/1521923444559908864,https://pbs.twimg.com/media/FR71TArXwAoWeW2.jpg,,0,0,Twitter for iPhone,211,1044,2,,2/22/2011,C. Izcalli,"Preocupado por mi municipio amigo de los amigos, odio la hipocresia y las injusticias! Católico, seguidor del Cruz Azul.",,,View
05/05/2022 12:34,@hola_atizapan,hola_atizapan,"Continúa la #Inseguridad en el ""Nuevo"" #Gobierno @GobIzcalli, Nada ha cambiado en realidad @KarlaFiesco, a plena luz del día frente a la normal de #Izcalli y a mano armada roban camióneta a ciudadanos sin que se note la presencia policiaca",1522268588672966656,,pic.twitter.com/Ecx0P1K4D6,,2,1,Twitter for Android,20658,25,66,,6/18/2013,"Tu voz , es nuestra voz!",El portal Informativo de Atizapán de Zaragoza y el Estado de Mexico,https://www.hola-atizapan.com,,View
05/05/2022 11:50,@luis_journalist,LUIS ROCHA / Política y Estilo,"Karla Fiesco García, señala que el Ayuntamiento y autoridades auxiliares de Cuautitlán Izcalli, trabajarán para que las comunidades tengan una mejor calidad de vida.  / #Edomex @KarlaFiesco @alfredodelmazo @anuarazar @EnriqueVargasdV @MAGPilloni @GobIzcalli",1522257426900295681,https://www.luisrochanoticias.com/post/karla-fiesco-garc%C3%ADa-encabeza-toma-de-protesta-de-los-copaci-2022-2025,,,2,2,Twitter for Android,5548,4705,65,,7/25/2009,Edomex,"#Edomex Mi alma le pertenece al Cruz Azul / Periodista / Crítico / Ácido / Me odian los corruptos / La Luna es mi fuente de poder, inspiración y energía.",https://www.luisrochanoticias.com/,,View
05/05/2022 10:03,@EnfasisComunica,Énfasis Comunica,La presidenta @KarlaFiesco del @GobIzcalli convocó a los miembros de los fraccionamientos y unidades habitacionales con el propósito de hacer la entrega simbólica de libros y sellos a cada uno de sus respectivos representantes de su comunidad.,1522230550299222016,,https://pbs.twimg.com/media/FSAMmbaUYAIWkRu.jpg,,0,0,Twitter for Android,3063,1990,37,,11/1/2010,Cuautitlán Izcalli,"Medio de comunicación, prensa, radio http://enfasiscomunicaciones.com",http://enfasiscomunicaciones.com,,View
05/05/2022 09:35,@VisionUrbanaMX,Visión Urbana,Copaci’s y Delegados toman protesta en Cuautitlán #Izcalli  @GobIzcalli @KarlaFiesco,1522223339342770176,https://vision-urbana.com.mx/copacis-y-delegados-toman-protesta-en-cuautitlan-izcalli/,,,0,0,TweetDeck,5797,5864,40,,5/28/2010,Valle de México,Información y Noticias del Valle de México. Síguenos en Facebook https://www.facebook.com/VisionUrbanaMX,http://www.vision-urbana.com.mx,,View
05/05/2022 00:17,@Ignacio76308439,aeliusz22,"Nada más asegúrense de darle a @KarlaFiesco, a @GobIzcalli, @OperaguaIzcalli, la dirección y la colonia con código postal, porque luego ni saben dónde ""gobiernan"" igual no conocen los pueblos y colonias de #izcalli🤦🏻 RT @izcaheroes: Para que año van a reparar @KarlaFiesco @OperaguaIzcalli ? #izcalli #somosfuturo",1522083117430984704,"https://twitter.com/izcaheroes/status/1521727211870502912
https://twitter.com/charly_osf/status/1521723078820122625",,,2,1,Twitter for Android,14,236,2,,5/9/2020,,,,,View
04/05/2022 23:46,@AtizapunkOff,Atizapunk_Oficial,"El mensaje desde presidencia municipal es que todo va mejor que nunca en #Izcalli, la realidad es otra. @GobIzcalli @Edomex #ElFuturoIniciaContigo #SomosFuturo RT @pizcalli: 🚨 #DeÚltimaHora Tres sujetos armados asaltan Sanborns de Perinorte #Izcalli; rompieron vitrinas del área de aparatos electrónicos y sustrajeron teléfonos celulares. Al lugar llegaron elementos de la policía del #Edomex y Municipal, sin embargo, los ladrones ya habían escapado.",1522075129810931713,https://twitter.com/pizcalli/status/1522039534069948426,https://pbs.twimg.com/media/FR9e4cPXEAAurJJ.jpg,,1,0,Twitter Web App,12,28,0,,1/5/2022,,"Difusión de noticias, denuncias, solicitudes y temas de interés general en Atizapán de Zaragoza y alrededores.",,,View
04/05/2022 21:50,@zeruch124,Señor Don Licenciado Aguilar,"Pero como? Si los policías de @GobIzcalli están ahí al ladito... Extorsionando automovilistas RT @pizcalli: 🚨 #DeÚltimaHora Tres sujetos armados asaltan Sanborns de Perinorte #Izcalli; rompieron vitrinas del área de aparatos electrónicos y sustrajeron teléfonos celulares. Al lugar llegaron elementos de la policía del #Edomex y Municipal, sin embargo, los ladrones ya habían escapado.",1522045956207910912,https://twitter.com/pizcalli/status/1522039534069948426,https://pbs.twimg.com/media/FR9e4cPXEAAurJJ.jpg,,0,0,Twitter for Android,813,460,16,,11/13/2009,méxico,"Diseñador, hago fantasy cuando hay tiempo e inspiración. información de libretas personalizadas aquí, buen precio 😌 #miasanmia ⭐⭐⭐⭐⭐",http://zeruchdesign.com,,View
04/05/2022 21:36,@12Parrafo,Párrafo 12/24,"La presidenta municipal de @GobIzcalli , @KarlaFiesco, encabezó la toma de protesta y entrega de sellos y libros a delegadas, delegados, subdelegadas, subdelegados y Consejos de Participación Ciudadana (COPACI), para el periodo 2022-2025.",1522042476080545792,https://m.facebook.com/story.php?story_fbid=380723440733164&id=100063865320724,https://pbs.twimg.com/media/FR9g2CUXoAEFDr5.jpg,,0,0,Twitter Web App,251,157,3,,10/1/2017,,,,,View
04/05/2022 21:22,@tvmextv,TvMex,#TvMexNoticias El Gobierno Municipal de Cuautitlán Izcalli iniciará jornadas de trabajo junto con autoridades auxiliares @GobIzcalli @KarlaFiesco,1522038881432002561,,pic.twitter.com/W5HAvtbZPR,,9,10,Twitter for iPhone,1390,1980,10,,11/26/2013,México,"Canal Digital que produce contenido informativo, de orientación y entretenimiento. #LaTvDeHoy",http://www.tvmex.tv,,View
04/05/2022 17:34,@jazmin2k,Jazmin,"Súper empoderada con la conferencia de Raul Bertotti Santillan ""Base cuántica de la abundancia"" Excelente! Lo recomiendo y muchísimas gracias al @GobIzcalli por la invitación y consideracion",1521981666549501952,https://www.facebook.com/liderazgogcial/,https://pbs.twimg.com/media/FR8qP3AXwAIH8c_.jpg,,0,0,Twitter Web App,396,343,0,,9/21/2013,México,Om Sat Chit Ananda Parabrahma,,,View
04/05/2022 13:43,@irenegzsa,Irene Gz S,#cuautitlanIzcalli #antesyahora #tucasaentrelosarboles #tucasaentrelabasura #basurero #contaminacion #izcalli #tianguis #suciedad #focodecontaminacion #municipio @pizcalli @izcaheroes @CuautitlanMX @GobIzcalli @Edomex @GobiernoMX es necesaria la reglamentación a tianguis #edomex,1521923444559908864,,https://pbs.twimg.com/media/FR71TArXwAoWeW2.jpg,,0,0,Twitter for iPhone,99,250,0,,9/5/2010,mexico d.f.,"mmm... Economista, me encantan muchas cosas: la comida, el cine, los libros, la música, los perros, ⚽️✈️ me gusta todo en esta vida",,,View
04/05/2022 10:49,@AntonioCataro59,Antonio Estudillo.,De tarea @Edomex @EdoMexAzul @Morena_edomex @PRI_EDOMEX @SEMOV_Edomex @GobIzcalli @Gob_Tlalne @GobAtizapan RT @Pennypol: El coche devora la ciudad. Cibeles. Hacia 1950,1521879576816893953,https://twitter.com/Pennypol/status/1521455782100938754,https://pbs.twimg.com/media/FRx6ZlRX0AELMjB.jpg,,0,0,Twitter for Android,642,590,14,,6/28/2012,www.elpoderdelapalabra.com.mx,"Profesor de economía y practicante de aikido. Gusto por la literatura, jazz, rock progesivo. Y triatleta, ya qué.🏊🚴🏃",http://todo-esta-en-todo.webnode.mx,,View
04/05/2022 08:18,@izcaheroes,Izcaheroes 🇲🇽,"Les salía más fácil sacar cita en las oficinas de centro urbano o en el módulo de licencias en San Miguel a perder horas en el @GobIzcalli RT @veraznoticiamas: #Veraz | Presentan fallas en la unidad móvil de expedición de licencias en #CuautitlánIzcalli, cientos de personas que acudieron a tramitar su licencia de conducir tuvieron que esperar varias horas por fallas de internet y en el sistema. Por: Jaime Vázquez",1521841723030310912,https://twitter.com/veraznoticiamas/status/1521700072907587584,pic.twitter.com/XCQRZqOIbg,,0,0,Twitter for Android,6828,6056,52,,10/6/2012,"Cuautitlán Izcalli, México","Cuenta ciudadana dé denuncias, Creadores de la campaña #VecinoResponsable en Izcalli, desde 2018 dejamos de representar a la colonia Niños Héroes.",,,View
04/05/2022 00:18,@charly_osf,CARLOS SANCHEZ,Que da más coraje o impotencia? la gente que lo permite o la autoridad que se muestra indiferente? Cuántos en Izcalli padecen de escases del vital líquido y aquí todos los días derramándose. @KarlaFiesco tu programa? @OperaguaIzcalli @GobIzcalli @izcaheroes @IzcalliDenuncia,1521720781423751169,,https://pbs.twimg.com/media/FR48_KoXIAANb0U.jpg,,0,0,Twitter for Android,111,328,1,,4/7/2011,"Cuautitlán Izcalli, México","LUCHADOR INCANSABLE EMPRENDEDOR, MI FAMILIA ES MI MOTOR, RETIRADO DE LAS MOTOS, MI GUSTO SON LOS AUTOS, RAIDER 💘, DM, MACALLAN, 4T THATS ALL!",,,View
03/05/2022 23:10,@Jedimx76,Jedimx,"Otra más de la policía de @GobIzcalli. Rescatan a una niña abandonada y su protocolo señala que deben regresarla a su núcleo familiar, que resulta ser...la mamá que la abandonó estando borracha!!! Bendito @DIFIzcalli2022 🤦🏽",1521703784166174720,,https://pbs.twimg.com/media/FR4thw8XwAAm0gr.jpg,,0,0,Twitter for Android,165,138,7,,5/5/2011,19°25′58″N 99°08′00″W,El décimo hombre. Veritas odium parit,,,View
03/05/2022 20:15,@Jedimx76,Jedimx,Acaban de robar una camioneta con arma de fuego frente a la Normal de @GobIzcalli. Pero @KarlaFiesco prefiere gastar dinero en festividades...,1521659747342204930,,,,0,0,Twitter for Android,165,138,7,,5/5/2011,19°25′58″N 99°08′00″W,El décimo hombre. Veritas odium parit,,,View
03/05/2022 17:54,@AntonioCataro59,Antonio Estudillo.,"Resuelvan de inmediato. El transporte público en este país @GobCDMX @GobIzcalli @Gob_Tlalne @Edomex @GobAtizapan @SEMOV_Edomex es ineficaz, ineficiente e inseguro. En breve tomaré el segundo piso para desplazarme en bicicleta. De tarea. URGE @SCT_mx RT @adriangatillo: Buenas tardes @CAPUFE @CNAC_GN @LaSEMOVI @UCS_GCDMX les solicito de la manera más amable que me indiquen desde cuando existen “AUTOPISTAS DE ALTA VELOCIDAD” en el país, en el reglamento de tránsito metropolitano, o federal Por que parece que @Adm_PINFRA DESCONOCE la ley",1521624277950283776,"https://twitter.com/adriangatillo/status/1521617337866235905
https://twitter.com/ivanchicomeco/status/1521568505077944320",,,0,0,Twitter for Android,642,586,14,,6/28/2012,www.elpoderdelapalabra.com.mx,"Profesor de economía y practicante de aikido. Gusto por la literatura, jazz, rock progesivo. Y triatleta, ya qué.🏊🚴🏃",http://todo-esta-en-todo.webnode.mx,,View
03/05/2022 17:46,@Rivemons,Gustavo H.🇲🇽,"Y somos futuro, 🤦‍♂️maginence cómo estamos! 🤷‍♂️@GobIzcalli RT @ADNoticiasMex: Los pobladores de la colonia Las Tinajas en #CuautitlánIzcalli viven sin servicios de agua potable, con problemas de regularización de vivienda y falta de pavimentación. Lee más en:",1521622245424218117,"https://twitter.com/adnoticiasmex/status/1521489759880712193
https://bit.ly/3vAFMCW",pic.twitter.com/l1vx6mV6tN,,0,0,Twitter for iPhone,211,1043,2,,2/22/2011,C. Izcalli,"Preocupado por mi municipio amigo de los amigos, odio la hipocresia y las injusticias! Católico, seguidor del Cruz Azul.",,,View
03/05/2022 17:34,@Reinadee_izcali,🇷🇺Reina de Izcalli 👑❤️ 🇵🇸,"Qué vergüenza qué un medio como @lasillarota solo publique este tipo de estupideces pagadas por el ayuntamiento de @GobIzcalli y no publiquen las denuncias sobre los abusos y extorsiones por parte de la policía de #izcalli El dinero manda! RT @lasillarota: 👧🧒 Con el festival ""Ciudad Futuro"" celebran a niñez con show, música en vivo y hasta juegos mecánicos en #CuautitlánIzcalli @KarlaFiesco",1521619215173787648,"https://twitter.com/lasillarota/status/1521614134885945344
https://bit.ly/3OQaxM1",,,2,2,Twitter for Android,848,1219,1,,12/31/2020,"Cuautitlán Izcalli, México",la reina madre de Cuautitlan Izcalli desde 1973 Chingue a su madre López Obrador.,,,View
03/05/2022 17:28,@AntonioCataro59,Antonio Estudillo.,"Pregunta: necesito ir a @GobCoacalco2022 desde @GobIzcalli , como el transporte público es ineficiente, ineficaz e inseguro, voy hacer mi viaje en bicicleta, ¿Llegaré sano y salvo a mi destino? ¿Cómo ven? @alfredodelmazo @Edomex @Morena_edomex @EdoMexAzul @PRI_EDOMEX",1521617738871017472,,,,0,0,Twitter for Android,642,586,14,,6/28/2012,www.elpoderdelapalabra.com.mx,"Profesor de economía y practicante de aikido. Gusto por la literatura, jazz, rock progesivo. Y triatleta, ya qué.🏊🚴🏃",http://todo-esta-en-todo.webnode.mx,,View
03/05/2022 14:51,@AntonioCataro59,Antonio Estudillo.,"Así en los municipios dormitorios como @GobIzcalli @Edomex dónde, además, el transporte público es deficiente e inseguro. Ni hablar de los salarios de los viajeros. RT @juliocebz: Muchos llegan a las 10 de la noche, después de dos horas de transporte y se preguntan si lavan un poco de ropa o se acuestan a descansar; hay cansancio. Y les piden hacer 150 min de actividad física moderada a la semana; si fallan, es por flojos, por no tener motivación de vida.",1521578090383687681,https://twitter.com/juliocebz/status/1521551558214922242,,,0,1,Twitter for Android,642,586,14,,6/28/2012,www.elpoderdelapalabra.com.mx,"Profesor de economía y practicante de aikido. Gusto por la literatura, jazz, rock progesivo. Y triatleta, ya qué.🏊🚴🏃",http://todo-esta-en-todo.webnode.mx,,View
03/05/2022 14:22,@TornadoBiker2,Tornado,"Para los que circulan por @GobIzcalli @Edomex las infracciones están suspendidas hasta nuevo aviso. Confirmado por @SPublicaIzcalli y Comisaro de Seguridad Mario Alfredo López, y en el caso del NO CIRCULA, sólo se está haciendo la invitación verbal para que dejen de circular.",1521570943428362240,,,,1,1,Twitter Web App,382,241,2,,6/14/2010,mexico .,"Esto soy yo, siempre de frente y buscando nuevos retos, recuerda el que no arriesga no gana. Imágenes fuertes se recomienda discreción",,,View
02/05/2022 21:59,@tvmextv,TvMex,#TvMexNoticias @KarlaFiesco arropada por más de 8 mil trabajadores de Suteym en #CuautitlánIzcalli @suteymprensa @Herminio_CahueC @GobIzcalli,1521323499775795202,,pic.twitter.com/XPbPdG6l2v,,5,6,Twitter for iPhone,1389,1980,10,,11/26/2013,México,"Canal Digital que produce contenido informativo, de orientación y entretenimiento. #LaTvDeHoy",http://www.tvmex.tv,,View
02/05/2022 21:21,@MAPIMO2,MAPIMO2,"Ccp @KarlaFiesco @GobIzcalli , @SPublicaIzcalli En la primera imagen la mejor muestra de que no trabajan y con cristales mega polarizados y el número incompleto porqué será. En la segunda otro muerto de hambre sin placas y ni quien lo multe o lleve al corralon, sólo en C. I.",1521313874615619587,,https://pbs.twimg.com/media/FRzK5INUYAY7tfi.jpg,,0,0,Twitter for Android,2325,2333,39,,12/28/2014,,,,,View
02/05/2022 17:57,@DmxOficial,Denuncia Mx oficial,".: @DMDHCIzcalli @GobIzcalli @pan_edomex @KarlaFiesco y el cambio? Policías corruptos,abusivos! Chocan un auto particular para luego amenazar a los vecinos? Que bonito cambio!",1521262621407727616,,pic.twitter.com/XlEz7EDSsu,,1,0,Twitter for iPhone,2123,801,6,,6/3/2014,cuautitlan Izcalli ,portal de noticias y sátira política Estado de México,,,View
02/05/2022 17:18,@hola_atizapan,hola_atizapan,Ojo aquí 👇 @KarlaFiesco @SPublicaIzcalli @GobIzcalli,1521252725354373120,,https://pbs.twimg.com/media/FRyTSqcXIAUkU4I.jpg,,0,0,Twitter for Android,20641,42,66,,6/18/2013,"Tu voz , es nuestra voz!",El portal Informativo de Atizapán de Zaragoza y el Estado de Mexico,https://www.hola-atizapan.com,,View
02/05/2022 16:17,@12Parrafo,Párrafo 12/24,Edición 72 del periódico @12Parrafo  @HuixquiGob @RominaCDV @GobNau @angiemoyam @NlArmando @GobiernoNicolas @GobAtizapan @Pedro_RVillegas @TonyRodriguezMX @Gob_Tlalne @DIFTlalne @GobIzcalli @KarlaFiesco @AyytoCuautitlan @ledezma_aldo @davidsanchezi,1521237510776623104,https://issuu.com/parrafo1224/docs/edici_n_72,,,0,0,Twitter Web App,251,157,3,,10/1/2017,,,,,View
02/05/2022 13:28,@EnfasisComunica,Énfasis Comunica,"Arrancó la Jornada de Expedición Licencias Vehiculares a través de la Unidad Móvil en #Izcalli que estará ubicada del 2 al 4 de mayo en la explanada municipal, así como el 5 y 6 en el estacionamiento de OPERAGUA. @GobIzcalli",1521194940411351042,,https://pbs.twimg.com/media/FRxeiqUXwAMfqfy.jpg,,0,0,Twitter Web App,3062,1990,37,,11/1/2010,Cuautitlán Izcalli,"Medio de comunicación, prensa, radio http://enfasiscomunicaciones.com",http://enfasiscomunicaciones.com,,View
