Username;Location;Bio;User Since;Followers;user_friends;Favorites;Verified;Date;Tweet Text;Source;is_retweet;Column1
Celia Acuña Moreno;;#HastaEncontrarlos;2/26/2020;753;817;66079;FALSE;3/30/2022 16:19;"RT @AmberAlertaNoOf: Vía @Dyzz4 solicitamos #difusión para #localizar a #JorgeAntonio García Mejía, 40 años; #Desapareció el 03 de febrero…";Twitter for Android;FALSE;
FES CUAUTITLÁN UNAM;Cuautitlán, Estado de México.;"Educación, investigación, cultura y deporte. 
Facultad de Estudios Superiores Cuautitlán FESC-UNAM. Cuenta oficial.";8/26/2011;9989;344;1883;FALSE;3/30/2022 16:18;"#Conferencia Los complejos de los metales: Ciencia en acción (vía ZOOM).

🗓️ Jueves 7 de abril de 2022, 10 hrs.
💻 ZOOM ID: 867 7378 2987
🖱️ Visita: https://t.co/gnciG368Gf https://t.co/RSwyOyUH6U";Twitter Web App;FALSE;
#&❤Marcela;;Q soy bien directa❤❤❤;4/13/2021;826;1892;2115;FALSE;3/30/2022 16:06;RT @alfredodelmazo: Mañana 10 de marzo aplicaremos la primera y segunda dosis a los menores nacidos en 2007 y de 15 a 17 años en #Chiconcua…;Twitter for Android;FALSE;
#&❤Marcela;;Q soy bien directa❤❤❤;4/13/2021;826;1892;2115;FALSE;3/30/2022 16:02;RT @alfredodelmazo: Del 7 al 9 de marzo aplicaremos la dosis de refuerzo a los adultos de 18 a 29 años en #Cuautitlán. #EstrategiaDeVacunac…;Twitter for Android;FALSE;
PeriódicoAQUIᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠ;Cuautitlán Izcalli, México;Conoce todos servicios que publicamos en AQUI CUAUTITLÁN IZCALLI, con 32 años de vida y un alcance desde Tepotzotlán hasta Naucalpan.;5/28/2010;6779;6269;1032;FALSE;3/30/2022 15:51;"¡QUE TODOS CONOZCAN TU NEGOCIO O SERVICIO!

#Anúnciate en AQUI CUAUTITLÁN IZCALLI #RevistaDigital y #RedesSociales

¡5 SEMANAS POR EL PRECIO DE 3!

Alcance desde #Naucalpan hasta #Tepotzotlán

Info: 555871-1287 o https://t.co/K5MH08hQby

#AQUICUAUTITLÁNIZCALLI https://t.co/IG9on60Qne";Postcron App;FALSE;
lyb;;;2/13/2015;63;273;4218;FALSE;3/30/2022 15:42;RT @PuntoMedioEdo: 🙏🏼🔎🤳 Piden nuestra colaboración para localizar a José Manuel Odilio Ermitaño González Morales de 79 años, fue visto por…;Twitter for Android;FALSE;
mari car;;;4/29/2020;181;240;2500;FALSE;3/30/2022 15:32;RT @alfredodelmazo: Del 7 al 9 de marzo aplicaremos la dosis de refuerzo a los adultos de 18 a 29 años en #Cuautitlán. #EstrategiaDeVacunac…;Twitter for Android;FALSE;
Mayte García Castañeda;México;;1/19/2020;34;136;5073;FALSE;3/30/2022 15:29;"@TinocoGRogelio ¡Buenos días!
Desde Cuautitlán Izcalli 🥰♥️ https://t.co/wpEJPT9UFA";Twitter for Android;FALSE;
mari car;;;4/29/2020;181;240;2500;FALSE;3/30/2022 15:29;RT @alfredodelmazo: Mañana 10 de marzo aplicaremos la primera y segunda dosis a los menores nacidos en 2007 y de 15 a 17 años en #Chiconcua…;Twitter for Android;FALSE;
péndulo_revista;México;Cuenta Oficial de la Revista Péndulo.;2/23/2010;1483;736;354;FALSE;3/30/2022 15:26;Cuautitlán Izcalli, es sede regional de la firma de convenio de jornadas itinerantes de la defensoría pública. https://t.co/qsXjlbfuGu @GobIzcalli @letycisner @SJyDH_Edomex;Twitter for Android;FALSE;
Ker;México;"Relaciones Internacionales & Análisis Político #UNAM | Somos diferentes cielos en un mismo mapa ☀️

| tuits a título personal 💬";2/20/2015;155;369;6988;FALSE;3/30/2022 15:19;RT @PuntoMedioEdo: 🙏🏼🔎🤳 Piden nuestra colaboración para localizar a José Manuel Odilio Ermitaño González Morales de 79 años, fue visto por…;Twitter for Android;FALSE;
Rocio Aviles;;;10/16/2021;233;977;1577;FALSE;3/30/2022 15:15;RT @alfredodelmazo: Del 7 al 9 de marzo aplicaremos la dosis de refuerzo a los adultos de 18 a 29 años en #Cuautitlán. #EstrategiaDeVacunac…;Twitter for Android;FALSE;
PeriódicoAQUIᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠ;Cuautitlán Izcalli, México;Conoce todos servicios que publicamos en AQUI CUAUTITLÁN IZCALLI, con 32 años de vida y un alcance desde Tepotzotlán hasta Naucalpan.;5/28/2010;6779;6269;1032;FALSE;3/30/2022 15:11;"AQUI CUAUTITLÁN IZCALLI

#RevistaDigital #Publicidad en #Internet con difusión en #RedesSociales .

¡Dale a tu #Negocio la #Difusión que necesita!

Consúltanos desde tu #Computadora, #Tablet o #Celular en: https://t.co/Xokmq6rGTf

#AQUICUAUTITLÁNIZCALLI https://t.co/Y3XcovKd8x";Postcron App;FALSE;
UnamOrienta;Ciudad de México, México;"SITIO WEB ESPECIALIZADO EN ORIENTACIÓN VOCACIONAL
Dirección General de Orientación y Atención Educativa, UNAM";10/17/2020;93;180;50;FALSE;3/30/2022 15:10;"ORIENTATÓN 2022: TERCER DÍA DE ACTIVIDADES

PANEL DE LA FACULTAD DE ESTUDIOS SUPERIORES CUAUTITLÁN 
09:00 - 10:00 hrs.

@FESC_UNAM 
https://t.co/aJRCAt70hz";Twitter Web App;FALSE;
Al Encuentro del Mañana, UNAM;Ciudad de México;"Exposición de Orientación Vocacional de la Universidad Nacional Autónoma de México (UNAM)

Coordinada por la Dir. Gral. de Orientación y Atención Educativa UNAM";6/30/2021;103;298;24;FALSE;3/30/2022 15:10;"ORIENTATÓN 2022: TERCER DÍA DE ACTIVIDADES

PANEL DE LA FACULTAD DE ESTUDIOS SUPERIORES CUAUTITLÁN 
09:00 - 10:00 hrs.

@FESC_UNAM 
https://t.co/FSN9EPOvl5";Twitter Web App;FALSE;
VACANTES LABORALES Y TIPS ♥;;"Abogada que publica vacantes laborales (principalmente en CDMX) que encuentra diario en sus redes.
A veces doy tips laborales.";1/21/2022;257;341;113;FALSE;3/30/2022 15:07;Mantenimiento en Ford Cuautitlan #EmpleoEdoMex https://t.co/OvnteBZNb5;Twitter for iPhone;FALSE;
FES CUAUTITLÁN UNAM;Cuautitlán, Estado de México.;"Educación, investigación, cultura y deporte. 
Facultad de Estudios Superiores Cuautitlán FESC-UNAM. Cuenta oficial.";8/26/2011;9989;344;1883;FALSE;3/30/2022 15:00;"#LeerEsEstarVivo #FILPM43 43º Feria Internacional del Libro del Palacio de Minería.

🗓️ Del 24 de marzo al 3 de abril de 2022
💻 Transmisión: https://t.co/zYEQTSXHBV
🖱️ Visita: https://t.co/gnciG368Gf https://t.co/u8oIWzsY3D";Twitter Web App;FALSE;
AAU - Official Account;Accra, Ghana;The Association of African Universities is the Voice of Higher Education in Africa. The Association was established in 1967 in Morocco.;4/26/2015;4358;1169;5532;FALSE;3/30/2022 14:56;"RT @GUNi_net: A warm welcome to our new 6 GUNi members!🌏🌍🌎

Al-Mustaqbal Univ. College, Iraq
Gujarat Technological Univ, India
Association…";Twitter Web App;FALSE;
Naiki bot;México;❤️🌈♌️#LoveIsLove ¯\(ツ)/¯ NO DM;9/29/2012;1332;1321;27651;FALSE;3/30/2022 14:35;"RT @izcaheroes: Lo único qué sabe hacer Leticia Fiesco .... 📷📷📷📷📷📷📷📷 

Cuautitlán Izcalli sin agua y un alto índice de robos con violencia…";Twitter for iPhone;FALSE;
AAU SecretaryGeneral;Ghana;"Leading the transformation of Africa's Higher Education | 
AAU - The Voice of Higher Education in Africa!";2/18/2016;308;92;155;FALSE;3/30/2022 14:32;"RT @GUNi_net: A warm welcome to our new 6 GUNi members!🌏🌍🌎

Al-Mustaqbal Univ. College, Iraq
Gujarat Technological Univ, India
Association…";Twitter Web App;FALSE;
El Lucky Charms;Edo. Méx.;Geek y arquitecto a mucha honra;1/30/2014;77;327;2118;FALSE;3/30/2022 14:25;Anciano pendejo, a mi casa se acaban de meter y la policía de Cuautitlán Izcalli no hizo nada 😡 gente buena mis 🥚🥚 https://t.co/oEHu0MxTsw;Twitter for iPhone;FALSE;
Enrique Gudiño Chong;Aqui y allá;Católico, Abogado, Mtro en Politica y Gestión Publica. ITESO Doy mi esfuerzo y dedicación por la Justicia, para ser mejores cada día. Mi pasión es México;6/19/2010;736;879;92057;FALSE;3/30/2022 14:04;"RT @Edithcomart: ✝️🌾Tenemos una cita!

✝️🌾 10 de abril, domingo de Ramos en el Centro Internacional de Espiritualidad Misionera (CIEM) en C…";Twitter for iPhone;FALSE;
WOTAN; M E X I C O   ;EL MIEDO FUE LO PRIMERO QUE DIO EN EL MUNDO, NACIMIENTO A LOS DIOSES...;6/4/2013;676;2587;48314;FALSE;3/30/2022 14:02;QUE PASÓ @Suburbanos  SON LAS 8AM Y EL VAGON M2. 0309 QUE CORRE DE BUENAVISTA A CUAUTITLAN YA VIENE CON BASURA EN SU INTERIOR 😠😡 https://t.co/Y4wBrtaq6x;Twitter for Android;FALSE;
_LaAlameda;México;Los desaparecidos no son banderas raídas ni miradas difusas ni sonrisas fallidas. Historias bordadas en las venas. No son botín.;10/30/2012;26536;25776;3774;FALSE;3/30/2022 13:53;#TeBuscamos Rubí Guadalupe Esguerra Godínez, 17 años, 18/3/20 #Cuautitlán #Edomex @Yv_undervolcano 018008902940 https://t.co/s4eu7Z2inG;Twitter Web App;FALSE;
Continuamos Mx;México;"Diario digital; Periodismo libre/plural #Edomex #CDMX c/ Ediciones impresas; en Facebook ContinuamosMx Edición Digital en https://t.co/HHsEIOorKg";12/27/2010;10724;8957;13692;FALSE;3/30/2022 13:50;CUAUTITLÁN IZCALLI, SEDE DE LA FIRMA DE CONVENIO DEL PROGRAMA JORNADAS ITINERANTES https://t.co/ld4zG4kJyN #Izcalli #cuautitlanizcalli @KarlaFiesco @GobIzcalli;Twitter for iPhone;FALSE;
° GFunk °;Tenochtitlán, Norte ;"°Ciclista Urbano|MTB °Hip-Hop|Rap|Jazz|Funk|Rock °Comedia|Reír|Bromear °Cocinar
°Mi Crew @BiciVerde #ComunaCulLaFamilia #MapeadoresCrew ° Sobreviviente a IRC";11/3/2020;773;1561;26685;FALSE;3/30/2022 13:49;RT @SirgRamirez: Buenos días Murciegalos Madrugadores saludos desde Cuautitlán Izcalli 🦇🦇 Home Office Forever, esté regresó a semáforo verd…;Twitter for Android;FALSE;
Mexicanita® 🌹❤MX;worldwide;Soy católica, creyente y practicante. Creo en la Virgen de Guadalupe y en Dios por sobre todas las cosas. 🌹;9/16/2016;2888;3657;84301;FALSE;3/30/2022 13:45;"RT @Edithcomart: ✝️🌾Tenemos una cita!

✝️🌾 10 de abril, domingo de Ramos en el Centro Internacional de Espiritualidad Misionera (CIEM) en C…";Twitter for Android;FALSE;
EL PAÍS México;Ciudad de México;Contamos un país al mundo y el mundo a un país. #ELPAÍSMéxico Suscríbete: https://t.co/G6R5OkzHQK. Síguenos en Telegram: https://t.co/S2ephV4zJ7;5/23/2020;73063;692;1076;TRUE;3/30/2022 13:42;"8. La investigación detalla cómo, mientras Octavio Pérez Ocaña era perseguido por una patrulla de la policía municipal de Cuautitlán Izcalli (Estado de México), uno de los agentes disparó en al menos tres ocasiones a la parte trasera de la camioneta

🔗 https://t.co/hHvaYWqfyk https://t.co/oasMQfX6Ad";Twitter Web App;FALSE;
Julian Elias Garcia;ÜT: 19.428697,-99.206;"A77AQUE
Cerveza 
Punk Rock
Esposo de Nancy
Papá de ikaal";2/9/2010;517;951;99971;FALSE;3/30/2022 13:39;RT @SirgRamirez: Buenos días Murciegalos Madrugadores saludos desde Cuautitlán Izcalli 🦇🦇 Home Office Forever, esté regresó a semáforo verd…;Twitter for Android;FALSE;
pthmonitoreo;;;2/7/2020;1;7;1;FALSE;3/30/2022 13:28;@locatel_mx Hola buenos días @locatel_mx tengo Placas Foraneas con Pase Turístico y me agarró la contingencia en Cuautitlán, si puedo circular?;Twitter for Android;FALSE;
GEM;;;9/28/2013;63;331;25919;FALSE;3/30/2022 13:25;"RT @telediario: ▶ Captan violento asalto a pasajeros de combi en #Cuautitlán, Izcalli, #EdoMex. 

#TelediarioMatutino con @anyalanis14, @li…";Twitter for Android;FALSE;
pthmonitoreo;;;2/7/2020;1;7;1;FALSE;3/30/2022 13:24;Hola buenos días @DGPCCA_Edomex tengo Placas Foraneas con Pase Turístico y me agarró la contingencia en Cuautitlán, si puedo circular?;Twitter for Android;FALSE;
pthmonitoreo;;;2/7/2020;1;7;1;FALSE;3/30/2022 13:21;Hola buenos días @072AvialCDMX tengo placas foraneas con pase Turístico y me agarró la contingencia en Cuautitlán, si puedo circular?;Twitter for Android;FALSE;
pthmonitoreo;;;2/7/2020;1;7;1;FALSE;3/30/2022 13:20;Hola buenos días @Aire_CDMX tengo placas foraneas con pase Turístico y me agarró la contingencia en Cuautitlán, si puedo circular?;Twitter for Android;FALSE;
pthmonitoreo;;;2/7/2020;1;7;1;FALSE;3/30/2022 13:10;@CAMegalopolis Hola buenos días @CAMegalopolis tengo placas foraneas con pase Turístico y me agarró la contingencia en Cuautitlán, si puedo circular?;Twitter for Android;FALSE;
_LaAlameda;México;Los desaparecidos no son banderas raídas ni miradas difusas ni sonrisas fallidas. Historias bordadas en las venas. No son botín.;10/30/2012;26536;25776;3774;FALSE;3/30/2022 13:05;#TeBuscamos David García Jaramillo, 2 años 3/7/16 #Cuautitlán #Edomex #911 https://t.co/SbZM1yGkaH;LaAlameda-Central;FALSE;
Leslie Mallely;;Estilista abuela mamá;10/10/2021;16;50;802;FALSE;3/30/2022 12:55;RT @noticiazonacero: #ZCN | Reportan volcadura de tráiler sobre la avenida Constitución, frente a Luna Parc, en el Centro Urbano de Cuautit…;Twitter for Android;FALSE;
MaAgBa;;Amo la vida, soy Católica, me gusta mi trabajo, admiro la naturaleza y valoro mucho a mi familia y amigos 💓;5/14/2020;0;7;111;FALSE;3/30/2022 12:51;@CuautitlanMX Buenos días, alguien sabe si la fase de contingencia aplica en Cuautitlán Izcalli?;Twitter for Android;FALSE;
Wizard;México;mantener en equilibrio el cerebro, su es tarea difícil;3/14/2012;64;220;1841;FALSE;3/30/2022 12:49;"@jrisco @warkentin 
Ora!!!
En la autopista México Querétaro, no vi a ningún policía de tránsito!
Que pasa?
En dos municipios Cuautitlán Izcalli y Tlalnepantla";Twitter for Android;FALSE;
Francisco Efraín;San Simón de Gro. México;Licenciado en Derecho y Maestro en Gestión Educativa;11/4/2011;190;229;85;FALSE;3/30/2022 12:25;RT @ignacio_rubi: En cumplimiento a la instrucción del Subsecretario de Educación Media Superior @israeljeronimol, participé en la presenta…;Twitter for iPhone;FALSE;
flaco espinosa;cancun;El día que nací yo nació el sol, nació la luna y nacieron las estrellas 😎🌞🌙🌟;5/7/2017;3;92;176;FALSE;3/30/2022 12:23;RT @SirgRamirez: Buenos días Murciegalos Madrugadores saludos desde Cuautitlán Izcalli 🦇🦇 Home Office Forever, esté regresó a semáforo verd…;Twitter Web App;FALSE;
Luisa Iglesias Arvide;;"radio/ horror/ cuento/ guion/ metalhead/
#EstáVivo en @Reactor105
#PrimeraEmisión de @IMER_Noticias
#COMUNA en @HorizonteJazz
#NadaQueVer podcast de @netflixLAT";6/30/2014;22791;2540;103231;FALSE;3/30/2022 12:23;RT @SirgRamirez: Buenos días Murciegalos Madrugadores saludos desde Cuautitlán Izcalli 🦇🦇 Home Office Forever, esté regresó a semáforo verd…;Twitter Web App;FALSE;
Sirg Ramirez;;#asicsomos #soymaratonista #soyciclista #salomonmexico #nikerun;12/21/2021;57;848;4612;FALSE;3/30/2022 12:20;RT @SirgRamirez: Buenos días Murciegalos Madrugadores saludos desde Cuautitlán Izcalli 🦇🦇 Home Office Forever, esté regresó a semáforo verd…;Twitter for Android;FALSE;
Sirg Ramirez;;#asicsomos #soymaratonista #soyciclista #salomonmexico #nikerun;12/21/2021;57;848;4612;FALSE;3/30/2022 12:20;Buenos días Murciegalos Madrugadores saludos desde Cuautitlán Izcalli 🦇🦇 Home Office Forever, esté regresó a semáforo verde, hasta el Clima lo resintió, Empresas no regresen a los Godínez, es un caos. @luisalaouija @Reactor105 #estavivo #sinyolanda;Twitter for Android;FALSE;
oz mebarak 🇲🇽☕;Izcalli Nezahualcoyotl, Nezahu;barista por pasión al café;6/25/2017;356;696;5824;FALSE;3/30/2022 12:13;RT @LaAlamedaEdoMex: #TeBuscamos Azul Pichardo Ruiz . Cuautitlán Edo Méx   @LaAlamedaAlerta #Cuautitlan #EdoMex https://t.co/wCWjaR0NXM;Twitter for Android;FALSE;
anticorrupción;un lugar retacado de nopalesMX;"sólo los pen**jos están en mi contra!!!😎
.
.
.
.
.

ya no quiero ser bueno_

seré igual a ustedes.!!!
YO NO BLOQUEO, YO LOS MANDO A CH**GAR A SU MADRE";9/18/2015;296;571;6926;FALSE;3/30/2022 9:53;"RT @ObservatorioM19: #Asalto #Izcalli #Edomex 
El día 27 de marzo, tres asaltantes, despojaron de sus pertenencias a los pasajeros de una u…";Twitter for Android;FALSE;
Selene Alvarez;;"Busco a mi hija Blanca Selene y a mi yerno Ernesto Plata 
Desaparecidos el 13 de septiembre de 2019 
En Nuevo Laredo, Tamaulipas. Mexico.";10/26/2020;421;301;2664;FALSE;3/30/2022 7:02;"RT @AmberAlertaNoOf: Vía @Dyzz4 solicitamos #difusión para #localizar a #JorgeAntonio García Mejía, 40 años; #Desapareció el 03 de febrero…";Twitter for Android;FALSE;
gerardo_rm2;;;10/27/2011;335;136;685;FALSE;3/30/2022 6:57;RT @ignacio_rubi: En cumplimiento a la instrucción del Subsecretario de Educación Media Superior @israeljeronimol, participé en la presenta…;Twitter for iPhone;FALSE;
Sonia Silva. TE ESTAMOS BUSCANDO CAMILA.;Barquisimeto Edo Lara. Venezue;;1/17/2021;220;344;2234;FALSE;3/30/2022 6:45;"RT @AmberAlertaNoOf: Vía @Dyzz4 solicitamos #difusión para #localizar a #JorgeAntonio García Mejía, 40 años; #Desapareció el 03 de febrero…";Twitter Web App;FALSE;
Roberto Noble .·.;México D.F.;"Yo creo en Di-s, los demás que traigan pruebas.
No contesto Mensajes Directos.
Fav o RT no implican aprobación o apoyo incondicional";8/14/2009;2094;4969;90449;FALSE;3/30/2022 6:03;RT @PacoXFlores: @linda_dimitrov Los que hemos volado a CDMX estos días, viniendo desde el norte, hemos constatado que la característica gr…;Twitter for Android;FALSE;
La Alameda EdoMex;Estado de México ;Los desaparecidos no son banderas raídas ni miradas difusas ni sonrisas fallidas. Historias bordadas en las venas. No son botín.;11/24/2013;5876;1685;2227;FALSE;3/30/2022 6:00;#TeBuscamos Elvia Vanesa Pineda Perez. Cuautitlan Izcalli, Edo de Mex  @LaAlamedaToluca #Cuautitlán #EdoMex https://t.co/2lG3ws7nWV;La Alameda;FALSE;
La Alameda EdoMex;Estado de México ;Los desaparecidos no son banderas raídas ni miradas difusas ni sonrisas fallidas. Historias bordadas en las venas. No son botín.;11/24/2013;5876;1685;2227;FALSE;3/30/2022 6:00;Andrea  Galván  Venegas 2003-12-29  #Cuautitlan #EdoMex fb Israel Linos https://t.co/FBWGZnuUVT;La Alameda;FALSE;
La Alameda EdoMex;Estado de México ;Los desaparecidos no son banderas raídas ni miradas difusas ni sonrisas fallidas. Historias bordadas en las venas. No son botín.;11/24/2013;5876;1685;2227;FALSE;3/30/2022 6:00;#TeBuscamos Azul Pichardo Ruiz . Cuautitlán Edo Méx   @LaAlamedaAlerta #Cuautitlan #EdoMex https://t.co/wCWjaR0NXM;La Alameda;FALSE;
La Alameda EdoMex;Estado de México ;Los desaparecidos no son banderas raídas ni miradas difusas ni sonrisas fallidas. Historias bordadas en las venas. No son botín.;11/24/2013;5876;1685;2227;FALSE;3/30/2022 6:00;#TeBuscamos Eli Ivanhoe Muñiz Perez. Cuautitlan Izcalli, Edo de Mex  @LaAlamcaedaToluca #Cuautitlán #EdoMex https://t.co/MHQ8hj9wL5;La Alameda;FALSE;
La Alameda EdoMex;Estado de México ;Los desaparecidos no son banderas raídas ni miradas difusas ni sonrisas fallidas. Historias bordadas en las venas. No son botín.;11/24/2013;5876;1685;2227;FALSE;3/30/2022 6:00;#TeBuscamos Ernesto Ortiz Vázquez. Cuautitlan Izcalli, Edo de Mex  #EdoMex https://t.co/JSMfjuRXvL;La Alameda;FALSE;
oOHildaOo;México, D.F.;Rockstar & Fabulous! 💃 😎  Proud auntie. Cat person. No regrets, time is luck 💫 UNAM. Ahora en @milenitotv Todo aquí es a título personal;11/25/2008;301;1514;2375;FALSE;3/30/2022 5:59;@Suburbanos viene una persona aparentemente intoxicada al interior del tren que salió de Buenavista a las 11:45 rumbo a Cuautitlán. No hay ni un policía a la vista. Cómo diablos entró? Y por qué ya no hay nadie haciendo rondas en los trenes???;Twitter for Android;FALSE;
Ghostdance;Mexico;"Arquitecto, chef, gamer ... en ese orden
modelo 77, pintura original y sin abolladuras
https://t.co/mD6MOohoiT";7/1/2019;2439;3622;267789;FALSE;3/30/2022 5:34;RT @frasalazar: Mis lics de nómina, va una más para ustedes: Auxiliar de nómina en Cuautitlan Izcalli, $12k mensuales + prestaciones de ley…;Twitter Web App;FALSE;
LPA Saturno;Luvina de Rulfo ;"Tu vecina del internet. 
Dealer de mermeladas, aspirante a cuentista, aprendiz de programación y enamorada. Hija de Yubarta 🐋🌌";10/10/2009;5100;4955;145599;FALSE;3/30/2022 5:31;RT @frasalazar: Mis lics de nómina, va una más para ustedes: Auxiliar de nómina en Cuautitlan Izcalli, $12k mensuales + prestaciones de ley…;Twitter for Android;FALSE;
Bagon;;aprendiendo a observar;8/10/2013;163;563;7418;FALSE;3/30/2022 5:07;RT @frasalazar: Mis lics de nómina, va una más para ustedes: Auxiliar de nómina en Cuautitlan Izcalli, $12k mensuales + prestaciones de ley…;Twitter for iPhone;FALSE;
☆ ꜰʀɪᴅᴀʏʜ ☆;México;𝑳𝒐𝒔 𝒐𝒋𝒐𝒔 𝒏𝒐 𝒗𝒆𝒏 𝒍𝒐 𝒒𝒖𝒆 𝒍𝒂 𝒎𝒆𝒏𝒕𝒆 𝒏𝒐 𝒄𝒐𝒏𝒐𝒄𝒆. ♡;2/22/2018;25;159;3460;FALSE;3/30/2022 4:58;A Dios le pido que me toque ir a la Raza porque neta no quiero ir hasta Cuautitlan. 🥹;Twitter for Android;FALSE;
Paco Flores;Mexico City;Navegando entre la historia y la innovación. Dejé atrás la partiditis política hace más de diez años y me siento fantástico.;2/21/2009;928;4914;6655;FALSE;3/30/2022 4:58;@linda_dimitrov Los que hemos volado a CDMX estos días, viniendo desde el norte, hemos constatado que la característica gruesa franja cafe de contaminantes en la atmósfera comienza varios kilometros antes de llegar a los municipios de Cuautitlán, Tultitlán o Coacalco.;Twitter for iPhone;FALSE;
Erika Luciano Juárez;;;11/2/2020;572;711;18630;FALSE;3/30/2022 4:57;RT @ignacio_rubi: En cumplimiento a la instrucción del Subsecretario de Educación Media Superior @israeljeronimol, participé en la presenta…;Twitter for Android;FALSE;
Fra, el hada de las vacantes ✨✨✨;México;Checa los tutoriales para obtener tu chamba ideal aquí: https://t.co/essbcp4l5I;10/19/2009;137699;2197;137639;FALSE;3/30/2022 4:49;Mis lics de nómina, va una más para ustedes: Auxiliar de nómina en Cuautitlan Izcalli, $12k mensuales + prestaciones de ley CV a: m.noguez@universodefragancias.com.mx https://t.co/rJeijhdlGO;Twitter Web App;FALSE;
Bere👸;;Amo ser comunicologa;10/30/2020;17;44;836;FALSE;3/30/2022 4:48;RT @tvmextv: #TvMexNoticias Se firma en Cuautitlán Izcalli el convenio del programa de Jornadas Itinerantes de Defensoría Pública @GobIzcal…;Twitter for Android;FALSE;
Bere👸;;Amo ser comunicologa;10/30/2020;17;44;836;FALSE;3/30/2022 4:48;RT @tvmextv: #TvMexNoticias Se firma en Cuautitlán Izcalli el convenio del programa de Jornadas Itinerantes de Defensoría Pública @GobIzcal…;Twitter for Android;FALSE;
Bere👸;;Amo ser comunicologa;10/30/2020;17;44;836;FALSE;3/30/2022 4:48;RT @tvmextv: #TvMexNoticias Autoridades municipales afirman que mejora la seguridad en Joyas de #Cuautitlán https://t.co/Vley5B65ri;Twitter for Android;FALSE;
Lupita Gómez;;Mexiquense de corazón...;1/11/2010;111;192;15856;FALSE;3/30/2022 4:39;RT @tvmextv: #TvMexNoticias Se firma en Cuautitlán Izcalli el convenio del programa de Jornadas Itinerantes de Defensoría Pública @GobIzcal…;Twitter for Android;FALSE;
Lupita Gómez;;Mexiquense de corazón...;1/11/2010;111;192;15856;FALSE;3/30/2022 4:39;RT @tvmextv: #TvMexNoticias Se firma en Cuautitlán Izcalli el convenio del programa de Jornadas Itinerantes de Defensoría Pública @GobIzcal…;Twitter for Android;FALSE;
Lupita Gómez;;Mexiquense de corazón...;1/11/2010;111;192;15856;FALSE;3/30/2022 4:39;RT @tvmextv: #TvMexNoticias Autoridades municipales afirman que mejora la seguridad en Joyas de #Cuautitlán https://t.co/Vley5B65ri;Twitter for Android;FALSE;
Alerta Amber y Odisea México.;México;"Ayuda en la Difusión de Personas Desaparecidas #AmberAlertaNoOf 🧡
#Tuparticipaciónesvital ❤️ está con @AngelAMelo1 y @SubMarco_76 como colaboradores.";9/28/2014;1500;988;42815;FALSE;3/30/2022 4:35;"Vía @Dyzz4 solicitamos #difusión para #localizar a #JorgeAntonio García Mejía, 40 años; #Desapareció el 03 de febrero de 2021 en Claustros de San Miguel, Mpio., de #Cuautitlán #EstadoDeMéxico, #México. #RT o inf. 800 509 0927, al 911 o al 089. https://t.co/jwBA1xbQek";Twitter for Android;FALSE;
Radiomex;México;Estación de Radio Digital, que transmite los 365 días del año, las 24 horas del día #LaRadioDeHoy;8/27/2009;3552;3237;12846;FALSE;3/30/2022 4:26;RT @tvmextv: #TvMexNoticias Se firma en Cuautitlán Izcalli el convenio del programa de Jornadas Itinerantes de Defensoría Pública @GobIzcal…;Twitter for iPhone;FALSE;
Radiomex;México;Estación de Radio Digital, que transmite los 365 días del año, las 24 horas del día #LaRadioDeHoy;8/27/2009;3552;3237;12846;FALSE;3/30/2022 4:26;RT @tvmextv: #TvMexNoticias Se firma en Cuautitlán Izcalli el convenio del programa de Jornadas Itinerantes de Defensoría Pública @GobIzcal…;Twitter for iPhone;FALSE;
Radiomex;México;Estación de Radio Digital, que transmite los 365 días del año, las 24 horas del día #LaRadioDeHoy;8/27/2009;3552;3237;12846;FALSE;3/30/2022 4:26;RT @tvmextv: #TvMexNoticias Autoridades municipales afirman que mejora la seguridad en Joyas de #Cuautitlán https://t.co/Vley5B65ri;Twitter for iPhone;FALSE;
Carlos Gómez Camacho;México;CEO Like Network México / Radiomex / TvMex;1/14/2010;2288;4990;15732;FALSE;3/30/2022 4:25;RT @tvmextv: #TvMexNoticias Se firma en Cuautitlán Izcalli el convenio del programa de Jornadas Itinerantes de Defensoría Pública @GobIzcal…;Twitter for iPhone;FALSE;
Carlos Gómez Camacho;México;CEO Like Network México / Radiomex / TvMex;1/14/2010;2288;4990;15732;FALSE;3/30/2022 4:25;RT @tvmextv: #TvMexNoticias Se firma en Cuautitlán Izcalli el convenio del programa de Jornadas Itinerantes de Defensoría Pública @GobIzcal…;Twitter for iPhone;FALSE;
Carlos Gómez Camacho;México;CEO Like Network México / Radiomex / TvMex;1/14/2010;2288;4990;15732;FALSE;3/30/2022 4:25;RT @tvmextv: #TvMexNoticias Autoridades municipales afirman que mejora la seguridad en Joyas de #Cuautitlán https://t.co/Vley5B65ri;Twitter for iPhone;FALSE;
